location,week_day,date_all,date_day,date_month,date_year,date_hour,date_minut,video_original_file_name,mapping_key,video_file_name
valby,sunday,13-02-2022 06:01,13,2,2022,6,1,FILE0177,Valby_13-02-2022/FILE0177.MP4,valby_13-02-2022_06.01_FILE0177.MP4
valby,sunday,13-02-2022 06:09,13,2,2022,6,9,FILE0178,Valby_13-02-2022/FILE0178.MP4,valby_13-02-2022_06.09_FILE0178.MP4
valby,sunday,13-02-2022 06:17,13,2,2022,6,17,FILE0179,Valby_13-02-2022/FILE0179.MP4,valby_13-02-2022_06.17_FILE0179.MP4
valby,sunday,13-02-2022 06:25,13,2,2022,6,25,FILE0180,Valby_13-02-2022/FILE0180.MP4,valby_13-02-2022_06.25_FILE0180.MP4
valby,sunday,13-02-2022 06:33,13,2,2022,6,33,FILE0181,Valby_13-02-2022/FILE0181.MP4,valby_13-02-2022_06.33_FILE0181.MP4
valby,sunday,13-02-2022 06:41,13,2,2022,6,41,FILE0182,Valby_13-02-2022/FILE0182.MP4,valby_13-02-2022_06.41_FILE0182.MP4
valby,sunday,13-02-2022 06:49,13,2,2022,6,49,FILE0183,Valby_13-02-2022/FILE0183.MP4,valby_13-02-2022_06.49_FILE0183.MP4
valby,sunday,13-02-2022 06:57,13,2,2022,6,57,FILE0184,Valby_13-02-2022/FILE0184.MP4,valby_13-02-2022_06.57_FILE0184.MP4
valby,sunday,13-02-2022 07:05,13,2,2022,7,5,FILE0185,Valby_13-02-2022/FILE0185.MP4,valby_13-02-2022_07.05_FILE0185.MP4
valby,sunday,13-02-2022 07:13,13,2,2022,7,13,FILE0186,Valby_13-02-2022/FILE0186.MP4,valby_13-02-2022_07.13_FILE0186.MP4
valby,sunday,13-02-2022 07:21,13,2,2022,7,21,FILE0187,Valby_13-02-2022/FILE0187.MP4,valby_13-02-2022_07.21_FILE0187.MP4
valby,sunday,13-02-2022 07:29,13,2,2022,7,29,FILE0188,Valby_13-02-2022/FILE0188.MP4,valby_13-02-2022_07.29_FILE0188.MP4
valby,sunday,13-02-2022 07:37,13,2,2022,7,37,FILE0189,Valby_13-02-2022/FILE0189.MP4,valby_13-02-2022_07.37_FILE0189.MP4
